"",Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Clustering,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
190,191,[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),⚠️ NA,Unknown,137M,768,8192,,,,,,,,,,,
191,192,[Titan-text-embeddings-v2](https://huggingface.co/amazon/Titan-text-embeddings-v2),⚠️ NA,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,
192,193,[modernbert-embed-base](https://huggingface.co/nomic-ai/modernbert-embed-base),96%,568,149M,768,8192,,,,,,,,,,,
193,194,[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1),99%,119,31M,1024,Unknown,,,,,,,,,,,
194,195,[voyage-finance-2](https://blog.voyageai.com/2024/06/03/domain-specific-embeddings-finance-edition-voyage-finance-2/),100%,Unknown,Unknown,1024,32000,,,,,,,,,,,
195,196,[bge-small-en](https://huggingface.co/BAAI/bge-small-en),99%,127,33M,512,512,,,,,,,,,,,
196,197,[gtr-t5-xxl](https://huggingface.co/sentence-transformers/gtr-t5-xxl),100%,9279,4B,768,512,,,,,,,,,,,
197,198,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),100%,87,22M,384,512,,,,,,,,,,,
198,199,[gtr-t5-xl](https://huggingface.co/sentence-transformers/gtr-t5-xl),100%,2367,1B,768,512,,,,,,,,,,,
199,200,[LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse),100%,27126,7B,4096,32768,,,,,,,,,,,
200,201,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse),100%,28629,7B,4096,8192,,,,,,,,,,,
201,202,[gtr-t5-base](https://huggingface.co/sentence-transformers/gtr-t5-base),100%,209,110M,768,512,,,,,,,,,,,
202,203,[gtr-t5-large](https://huggingface.co/sentence-transformers/gtr-t5-large),100%,639,335M,768,512,,,,,,,,,,,
