,Model,AlloProfClusteringS2S.v2,ArXivHierarchicalClusteringP2P,ArXivHierarchicalClusteringS2S,BigPatentClustering.v2,BiorxivClusteringP2P.v2,CLSClusteringP2P.v2,HALClusteringS2S.v2,MasakhaNEWSClusteringS2S,MedrxivClusteringP2P.v2,PlscClusteringP2P.v2,SIB200ClusteringS2S,StackExchangeClustering.v2,SwednClusteringP2P,WikiCitiesClustering,WikiClusteringP2P.v2
38,bge-large-en-v1.5,39.228808942727404,60.58357599909132,58.73767879927723,26.841937789056452,42.05574653405882,18.408571124333783,26.196699206865166,39.969681929197,36.3124446086602,68.2145901977976,10.883082953571558,59.41857905540503,31.449231029724878,81.22951122099707,25.497817529753934
39,gte-large,37.8373,58.6399,58.5197,25.4472,41.0188,20.640900000000002,25.5711,39.950018750000005,36.6636,69.6337,11.143674619289344,60.3187,29.485149999999997,84.99839999999999,25.293342857142857
40,NoInstruct-small-Embedding-v0,32.4355,60.11260000000001,57.57679999999999,32.602399999999996,41.8853,19.5414,23.6545,40.133868750000005,38.055699999999995,66.7876,9.304619796954317,58.426500000000004,29.83425,80.1023,24.766885714285714
41,gte-base,37.5952,59.3139,58.284000000000006,29.6037,40.617399999999996,21.9676,24.576600000000003,39.41144375000001,36.4043,67.5219,9.477464467005078,59.126,28.625449999999997,87.2155,24.802957142857146
42,mmlw-e5-small,32.9093,59.169000000000004,54.112899999999996,39.8505,40.8031,20.8497,21.7193,42.543012499999996,36.8133,71.91929999999999,9.399734010152283,54.517700000000005,27.381,81.167,24.971650000000004
43,snowflake-arctic-embed-l-v2.0,45.7351,57.1874,53.1249,34.132600000000004,37.1826,34.1997,24.9489,42.938656249999994,34.9524,71.065,25.425985786802023,56.2998,25.99375,74.2287,27.066271428571426
44,embedder-100p,38.0702,58.5614,54.2086,44.2977,39.7806,29.018,22.5838,39.12873125,39.4704,66.7268,12.636475634517765,52.6949,24.374449999999996,83.0741,25.590600000000002
45,nomic-embed-text-v1,33.7397,58.9489,54.9637,34.7527,41.4831,20.1377,21.8551,38.889675000000004,37.0082,66.8944,8.724858375634518,58.562599999999996,29.6008,84.3349,24.822171428571433
46,NV-Embed-v2,45.260600000000004,60.27869999999999,59.244699999999995,22.7047,43.731500000000004,35.4904,21.673000000000002,38.16398125,37.396367034196196,69.10340000000001,12.592018274111675,55.0391,21.465300000000003,67.4872,25.854571428571425
47,voyage-multilingual-2,51.4632,58.206,56.0748,,40.2445,38.595600000000005,26.160600000000002,42.135431249999996,35.6732,70.5436,30.106468527918786,56.841699999999996,36.77675,,27.81177857142857
48,GIST-small-Embedding-v0,31.846600000000002,59.6633,57.14979999999999,31.1608,42.1505,18.932399999999998,22.3401,39.138062500000004,37.778600000000004,66.7187,9.047714213197974,58.548199999999994,29.373450000000002,80.9841,24.91839285714285
